Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Total;04 Balears, Illes;16 años;2024;12.890
Total;04 Balears, Illes;17 años;2041;""
Total;04 Balears, Illes;17 años;2040;""
Total;04 Balears, Illes;17 años;2039;11.768,724403
Total;04 Balears, Illes;17 años;2038;11.710,527841
Total;04 Balears, Illes;17 años;2037;11.906,564993
Total;04 Balears, Illes;17 años;2036;12.481,537806
Total;04 Balears, Illes;17 años;2035;12.641,914609
Total;04 Balears, Illes;17 años;2034;13.124,125455
Total;04 Balears, Illes;17 años;2033;13.281,960397
Total;04 Balears, Illes;17 años;2032;13.343,46924
Total;04 Balears, Illes;17 años;2031;13.049,021724
Total;04 Balears, Illes;17 años;2030;13.491,869775
Total;04 Balears, Illes;17 años;2029;13.585,677455
Total;04 Balears, Illes;17 años;2028;13.836,520453
Total;04 Balears, Illes;17 años;2027;13.560,689406
Total;04 Balears, Illes;17 años;2026;14.155,380826
Total;04 Balears, Illes;17 años;2025;13.280,893373
Total;04 Balears, Illes;17 años;2024;12.920
Total;04 Balears, Illes;18 años;2041;""
Total;04 Balears, Illes;18 años;2040;""
Total;04 Balears, Illes;18 años;2039;11.940,020603
Total;04 Balears, Illes;18 años;2038;12.138,459055
Total;04 Balears, Illes;18 años;2037;12.710,641043
Total;04 Balears, Illes;18 años;2036;12.878,432739
Total;04 Balears, Illes;18 años;2035;13.364,941919
Total;04 Balears, Illes;18 años;2034;13.530,879528
Total;04 Balears, Illes;18 años;2033;13.604,670936
Total;04 Balears, Illes;18 años;2032;13.333,528145
Total;04 Balears, Illes;18 años;2031;13.799,491611
Total;04 Balears, Illes;18 años;2030;13.923,148534
Total;04 Balears, Illes;18 años;2029;14.204,747822
Total;04 Balears, Illes;18 años;2028;13.973,23124
Total;04 Balears, Illes;18 años;2027;14.588,58313
Total;04 Balears, Illes;18 años;2026;13.746,236274
Total;04 Balears, Illes;18 años;2025;13.390,874517
Total;04 Balears, Illes;18 años;2024;12.657
Total;04 Balears, Illes;19 años;2041;""
Total;04 Balears, Illes;19 años;2040;""
Total;04 Balears, Illes;19 años;2039;12.426,979202
Total;04 Balears, Illes;19 años;2038;12.995,859706
Total;04 Balears, Illes;19 años;2037;13.171,035303
Total;04 Balears, Illes;19 años;2036;13.661,001103
Total;04 Balears, Illes;19 años;2035;13.833,323563
Total;04 Balears, Illes;19 años;2034;13.917,3268
Total;04 Balears, Illes;19 años;2033;13.666,122174
Total;04 Balears, Illes;19 años;2032;14.154,248761
Total;04 Balears, Illes;19 años;2031;14.306,479111
Total;04 Balears, Illes;19 años;2030;14.618,588864
Total;04 Balears, Illes;19 años;2029;14.433,067289
Total;04 Balears, Illes;19 años;2028;15.076,366621
Total;04 Balears, Illes;19 años;2027;14.275,268128
Total;04 Balears, Illes;19 años;2026;13.944,165402
Total;04 Balears, Illes;19 años;2025;13.218,277294
Total;04 Balears, Illes;19 años;2024;13.266
Total;04 Balears, Illes;20 años;2041;""
Total;04 Balears, Illes;20 años;2040;""
Total;04 Balears, Illes;20 años;2039;13.340,208062
Total;04 Balears, Illes;20 años;2038;13.523,115196
Total;04 Balears, Illes;20 años;2037;14.015,846414
Total;04 Balears, Illes;20 años;2036;14.192,822659
Total;04 Balears, Illes;20 años;2035;14.284,82674
Total;04 Balears, Illes;20 años;2034;14.049,836644
Total;04 Balears, Illes;20 años;2033;14.558,580557
Total;04 Balears, Illes;20 años;2032;14.737,038897
Total;04 Balears, Illes;20 años;2031;15.077,546778
Total;04 Balears, Illes;20 años;2030;14.937,329204
Total;04 Balears, Illes;20 años;2029;15.612,121372
Total;04 Balears, Illes;20 años;2028;14.856,371418
Total;04 Balears, Illes;20 años;2027;14.561,405739
Total;04 Balears, Illes;20 años;2026;13.864,738837
Total;04 Balears, Illes;20 años;2025;13.900,09781
Total;04 Balears, Illes;20 años;2024;13.249
Total;04 Balears, Illes;21 años;2041;""
Total;04 Balears, Illes;21 años;2040;""
Total;04 Balears, Illes;21 años;2039;13.931,937261
Total;04 Balears, Illes;21 años;2038;14.426,906974
Total;04 Balears, Illes;21 años;2037;14.606,937867
Total;04 Balears, Illes;21 años;2036;14.704,785768
Total;04 Balears, Illes;21 años;2035;14.482,188247
Total;04 Balears, Illes;21 años;2034;15.009,503296
Total;04 Balears, Illes;21 años;2033;15.210,967126
Total;04 Balears, Illes;21 años;2032;15.576,143919
Total;04 Balears, Illes;21 años;2031;15.478,418163
Total;04 Balears, Illes;21 años;2030;16.184,829096
Total;04 Balears, Illes;21 años;2029;15.474,101363
Total;04 Balears, Illes;21 años;2028;15.220,992547
Total;04 Balears, Illes;21 años;2027;14.566,695498
Total;04 Balears, Illes;21 años;2026;14.613,349947
Total;04 Balears, Illes;21 años;2025;13.969,232381
Total;04 Balears, Illes;21 años;2024;13.538
Total;04 Balears, Illes;22 años;2041;""
Total;04 Balears, Illes;22 años;2040;""
Total;04 Balears, Illes;22 años;2039;14.889,655256
Total;04 Balears, Illes;22 años;2038;15.071,466817
Total;04 Balears, Illes;22 años;2037;15.173,275126
Total;04 Balears, Illes;22 años;2036;14.959,478561
Total;04 Balears, Illes;22 años;2035;15.503,201372
Total;04 Balears, Illes;22 años;2034;15.723,994399
Total;04 Balears, Illes;22 años;2033;16.109,095174
Total;04 Balears, Illes;22 años;2032;16.049,504562
Total;04 Balears, Illes;22 años;2031;16.784,968761
Total;04 Balears, Illes;22 años;2030;16.115,310404
Total;04 Balears, Illes;22 años;2029;15.904,473389
Total;04 Balears, Illes;22 años;2028;15.298,510038
Total;04 Balears, Illes;22 años;2027;15.370,148028
Total;04 Balears, Illes;22 años;2026;14.758,123625
Total;04 Balears, Illes;22 años;2025;14.311,452724
Total;04 Balears, Illes;22 años;2024;13.886
Total;04 Balears, Illes;23 años;2041;""
Total;04 Balears, Illes;23 años;2040;""
Total;04 Balears, Illes;23 años;2039;15.578,613924
Total;04 Balears, Illes;23 años;2038;15.682,920368
Total;04 Balears, Illes;23 años;2037;15.474,864032
Total;04 Balears, Illes;23 años;2036;16.032,90771
Total;04 Balears, Illes;23 años;2035;16.269,297299
Total;04 Balears, Illes;23 años;2034;16.669,151577
Total;04 Balears, Illes;23 años;2033;16.642,445152
Total;04 Balears, Illes;23 años;2032;17.402,499063
Total;04 Balears, Illes;23 años;2031;16.767,543703
Total;04 Balears, Illes;23 años;2030;16.595,351751
Total;04 Balears, Illes;23 años;2029;16.037,925453
Total;04 Balears, Illes;23 años;2028;16.139,965905
Total;04 Balears, Illes;23 años;2027;15.574,239997
Total;04 Balears, Illes;23 años;2026;15.138,968321
Total;04 Balears, Illes;23 años;2025;14.700,229053
Total;04 Balears, Illes;23 años;2024;14.240
Total;04 Balears, Illes;24 años;2041;""
Total;04 Balears, Illes;24 años;2040;""
Total;04 Balears, Illes;24 años;2039;16.221,081167
Total;04 Balears, Illes;24 años;2038;16.016,413437
Total;04 Balears, Illes;24 años;2037;16.586,769535
Total;04 Balears, Illes;24 años;2036;16.835,226313
Total;04 Balears, Illes;24 años;2035;17.244,717157
Total;04 Balears, Illes;24 años;2034;17.245,34785
Total;04 Balears, Illes;24 años;2033;18.024,313893
Total;04 Balears, Illes;24 años;2032;17.416,547957
Total;04 Balears, Illes;24 años;2031;17.276,744935
Total;04 Balears, Illes;24 años;2030;16.763,901709
Total;04 Balears, Illes;24 años;2029;16.895,440167
Total;04 Balears, Illes;24 años;2028;16.381,270516
Total;04 Balears, Illes;24 años;2027;15.972,043655
Total;04 Balears, Illes;24 años;2026;15.551,464989
Total;04 Balears, Illes;24 años;2025;15.091,884668
Total;04 Balears, Illes;24 años;2024;14.410
Total;04 Balears, Illes;25 años;2041;""
Total;04 Balears, Illes;25 años;2040;""
Total;04 Balears, Illes;25 años;2039;16.569,144356
Total;04 Balears, Illes;25 años;2038;17.149,76615
Total;04 Balears, Illes;25 años;2037;17.407,095213
Total;04 Balears, Illes;25 años;2036;17.821,523074
Total;04 Balears, Illes;25 años;2035;17.844,103849
Total;04 Balears, Illes;25 años;2034;18.635,733575
Total;04 Balears, Illes;25 años;2033;18.047,705709
Total;04 Balears, Illes;25 años;2032;17.932,816872
Total;04 Balears, Illes;25 años;2031;17.458,18555
Total;04 Balears, Illes;25 años;2030;17.614,165823
Total;04 Balears, Illes;25 años;2029;17.150,177286
Total;04 Balears, Illes;25 años;2028;16.772,207291
Total;04 Balears, Illes;25 años;2027;16.387,140812
Total;04 Balears, Illes;25 años;2026;15.960,320193
Total;04 Balears, Illes;25 años;2025;15.265,369198
Total;04 Balears, Illes;25 años;2024;14.553
Total;04 Balears, Illes;26 años;2041;""
Total;04 Balears, Illes;26 años;2040;""
Total;04 Balears, Illes;26 años;2039;17.706,886439
Total;04 Balears, Illes;26 años;2038;17.970,341889
Total;04 Balears, Illes;26 años;2037;18.385,720054
Total;04 Balears, Illes;26 años;2036;18.425,430381
Total;04 Balears, Illes;26 años;2035;19.223,577157
Total;04 Balears, Illes;26 años;2034;18.648,834519
Total;04 Balears, Illes;26 años;2033;18.551,403714
Total;04 Balears, Illes;26 años;2032;18.107,733997
Total;04 Balears, Illes;26 años;2031;18.281,050756
Total;04 Balears, Illes;26 años;2030;17.861,623668
Total;04 Balears, Illes;26 años;2029;17.513,657704
Total;04 Balears, Illes;26 años;2028;17.170,786392
Total;04 Balears, Illes;26 años;2027;16.793,276174
Total;04 Balears, Illes;26 años;2026;16.119,960957
Total;04 Balears, Illes;26 años;2025;15.397,00492
Total;04 Balears, Illes;26 años;2024;15.152
Total;04 Balears, Illes;27 años;2041;""
Total;04 Balears, Illes;27 años;2040;""
Total;04 Balears, Illes;27 años;2039;18.510,385746
Total;04 Balears, Illes;27 años;2038;18.923,445374
Total;04 Balears, Illes;27 años;2037;18.976,155962
Total;04 Balears, Illes;27 años;2036;19.775,070304
Total;04 Balears, Illes;27 años;2035;19.208,676471
Total;04 Balears, Illes;27 años;2034;19.122,087952
Total;04 Balears, Illes;27 años;2033;18.702,403499
Total;04 Balears, Illes;27 años;2032;18.885,484712
Total;04 Balears, Illes;27 años;2031;18.502,917832
Total;04 Balears, Illes;27 años;2030;18.179,968082
Total;04 Balears, Illes;27 años;2029;17.878,725836
Total;04 Balears, Illes;27 años;2028;17.555,675935
Total;04 Balears, Illes;27 años;2027;16.922,193528
Total;04 Balears, Illes;27 años;2026;16.224,476274
Total;04 Balears, Illes;27 años;2025;15.970,596596
Total;04 Balears, Illes;27 años;2024;15.463
Total;04 Balears, Illes;28 años;2041;""
Total;04 Balears, Illes;28 años;2040;""
Total;04 Balears, Illes;28 años;2039;19.424,95048
Total;04 Balears, Illes;28 años;2038;19.487,3087
Total;04 Balears, Illes;28 años;2037;20.282,062602
Total;04 Balears, Illes;28 años;2036;19.720,678674
Total;04 Balears, Illes;28 años;2035;19.639,630099
Total;04 Balears, Illes;28 años;2034;19.237,888454
Total;04 Balears, Illes;28 años;2033;19.423,833603
Total;04 Balears, Illes;28 años;2032;19.069,97553
Total;04 Balears, Illes;28 años;2031;18.765,516938
Total;04 Balears, Illes;28 años;2030;18.501,010754
Total;04 Balears, Illes;28 años;2029;18.230,103745
Total;04 Balears, Illes;28 años;2028;17.642,961834
Total;04 Balears, Illes;28 años;2027;16.988,767359
Total;04 Balears, Illes;28 años;2026;16.762,308253
Total;04 Balears, Illes;28 años;2025;16.241,314838
Total;04 Balears, Illes;28 años;2024;15.867
Total;04 Balears, Illes;29 años;2041;""
Total;04 Balears, Illes;29 años;2040;""
Total;04 Balears, Illes;29 años;2039;19.954,25346
Total;04 Balears, Illes;29 años;2038;20.740,870208
Total;04 Balears, Illes;29 años;2037;20.182,570149
Total;04 Balears, Illes;29 años;2036;20.103,147032
Total;04 Balears, Illes;29 años;2035;19.714,509838
Total;04 Balears, Illes;29 años;2034;19.897,662368
Total;04 Balears, Illes;29 años;2033;19.564,959146
Total;04 Balears, Illes;29 años;2032;19.272,354331
Total;04 Balears, Illes;29 años;2031;19.037,627755
Total;04 Balears, Illes;29 años;2030;18.812,236206
Total;04 Balears, Illes;29 años;2029;18.270,379324
Total;04 Balears, Illes;29 años;2028;17.665,780591
Total;04 Balears, Illes;29 años;2027;17.484,141883
Total;04 Balears, Illes;29 años;2026;16.987,436975
Total;04 Balears, Illes;29 años;2025;16.607,992115
Total;04 Balears, Illes;29 años;2024;16.123
Total;04 Balears, Illes;30 años;2041;""
Total;04 Balears, Illes;30 años;2040;""
Total;04 Balears, Illes;30 años;2039;21.151,796909
Total;04 Balears, Illes;30 años;2038;20.595,706841
Total;04 Balears, Illes;30 años;2037;20.515,250671
Total;04 Balears, Illes;30 años;2036;20.136,04147
Total;04 Balears, Illes;30 años;2035;20.312,174048
Total;04 Balears, Illes;30 años;2034;19.994,204642
Total;04 Balears, Illes;30 años;2033;19.707,551791
Total;04 Balears, Illes;30 años;2032;19.495,153865
Total;04 Balears, Illes;30 años;2031;19.306,782185
Total;04 Balears, Illes;30 años;2030;18.804,878515
Total;04 Balears, Illes;30 años;2029;18.248,267356
Total;04 Balears, Illes;30 años;2028;18.116,281637
Total;04 Balears, Illes;30 años;2027;17.662,170381
Total;04 Balears, Illes;30 años;2026;17.313,812666
Total;04 Balears, Illes;30 años;2025;16.832,071644
Total;04 Balears, Illes;30 años;2024;16.510
Total;04 Balears, Illes;31 años;2041;""
Total;04 Balears, Illes;31 años;2040;""
Total;04 Balears, Illes;31 años;2039;20.964,73592
Total;04 Balears, Illes;31 años;2038;20.881,605264
Total;04 Balears, Illes;31 años;2037;20.509,122275
Total;04 Balears, Illes;31 años;2036;20.675,353682
Total;04 Balears, Illes;31 años;2035;20.367,003068
Total;04 Balears, Illes;31 años;2034;20.081,482737
Total;04 Balears, Illes;31 años;2033;19.884,436256
Total;04 Balears, Illes;31 años;2032;19.724,339073
Total;04 Balears, Illes;31 años;2031;19.255,08848
Total;04 Balears, Illes;31 años;2030;18.740,604017
Total;04 Balears, Illes;31 años;2029;18.655,477656
Total;04 Balears, Illes;31 años;2028;18.249,518187
Total;04 Balears, Illes;31 años;2027;17.949,042958
Total;04 Balears, Illes;31 años;2026;17.506,233507
Total;04 Balears, Illes;31 años;2025;17.188,505588
Total;04 Balears, Illes;31 años;2024;17.238
Total;04 Balears, Illes;32 años;2041;""
Total;04 Balears, Illes;32 años;2040;""
Total;04 Balears, Illes;32 años;2039;21.208,128101
Total;04 Balears, Illes;32 años;2038;20.840,464008
Total;04 Balears, Illes;32 años;2037;20.995,075449
Total;04 Balears, Illes;32 años;2036;20.692,48796
Total;04 Balears, Illes;32 años;2035;20.404,464219
Total;04 Balears, Illes;32 años;2034;20.216,754305
Total;04 Balears, Illes;32 años;2033;20.076,861904
Total;04 Balears, Illes;32 años;2032;19.632,520644
Total;04 Balears, Illes;32 años;2031;19.152,37192
Total;04 Balears, Illes;32 años;2030;19.107,177936
Total;04 Balears, Illes;32 años;2029;18.747,069025
Total;04 Balears, Illes;32 años;2028;18.498,604743
Total;04 Balears, Illes;32 años;2027;18.110,656732
Total;04 Balears, Illes;32 años;2026;17.832,225842
Total;04 Balears, Illes;32 años;2025;17.872,24341
Total;04 Balears, Illes;32 años;2024;17.415
Total;04 Balears, Illes;33 años;2041;""
Total;04 Balears, Illes;33 años;2040;""
Total;04 Balears, Illes;33 años;2039;21.135,078641
Total;04 Balears, Illes;33 años;2038;21.277,258879
Total;04 Balears, Illes;33 años;2037;20.977,69148
Total;04 Balears, Illes;33 años;2036;20.684,619902
Total;04 Balears, Illes;33 años;2035;20.501,407825
Total;04 Balears, Illes;33 años;2034;20.374,814914
Total;04 Balears, Illes;33 años;2033;19.948,160843
Total;04 Balears, Illes;33 años;2032;19.494,214177
Total;04 Balears, Illes;33 años;2031;19.480,321344
Total;04 Balears, Illes;33 años;2030;19.159,506154
Total;04 Balears, Illes;33 años;2029;18.959,544673
Total;04 Balears, Illes;33 años;2028;18.629,643969
Total;04 Balears, Illes;33 años;2027;18.405,737534
Total;04 Balears, Illes;33 años;2026;18.471,596811
Total;04 Balears, Illes;33 años;2025;18.004,503948
Total;04 Balears, Illes;33 años;2024;17.658
Total;04 Balears, Illes;34 años;2041;""
Total;04 Balears, Illes;34 años;2040;""
Total;04 Balears, Illes;34 años;2039;21.528,318713
Total;04 Balears, Illes;34 años;2038;21.230,000933
Total;04 Balears, Illes;34 años;2037;20.930,397256
Total;04 Balears, Illes;34 años;2036;20.748,13359
Total;04 Balears, Illes;34 años;2035;20.629,422878
Total;04 Balears, Illes;34 años;2034;20.214,40142
Total;04 Balears, Illes;34 años;2033;19.779,292646
Total;04 Balears, Illes;34 años;2032;19.788,116404
Total;04 Balears, Illes;34 años;2031;19.498,441309
Total;04 Balears, Illes;34 años;2030;19.339,650023
Total;04 Balears, Illes;34 años;2029;19.063,578974
Total;04 Balears, Illes;34 años;2028;18.896,977026
Total;04 Balears, Illes;34 años;2027;19.004,557798
Total;04 Balears, Illes;34 años;2026;18.563,961813
Total;04 Balears, Illes;34 años;2025;18.205,395808
Total;04 Balears, Illes;34 años;2024;17.641
Total;04 Balears, Illes;35 años;2041;""
Total;04 Balears, Illes;35 años;2040;""
Total;04 Balears, Illes;35 años;2039;21.456,585039
Total;04 Balears, Illes;35 años;2038;21.149,757309
Total;04 Balears, Illes;35 años;2037;20.966,002161
Total;04 Balears, Illes;35 años;2036;20.851,135061
Total;04 Balears, Illes;35 años;2035;20.442,995777
